loan_id,customer_id,loan_type,employment_type,region,loan_status,credit_score,loan_amount,outstanding_amount,collateral_value,ltv,missed_payments,dpd,previous_dpd,dpd_change,risk_score,risk_category,ews_alert_level
LN000001,CUST007271,Education,Salaried,West,Active,518,889405,497527.11,2349142,0.37860844512592257,0,0,0,0,2,Low Risk,Critical
LN000002,CUST007604,Auto,Business Owner,South,Active,730,2319803,478461.04,1443484,1.6070860501398005,2,0,90,-90,2,Low Risk,Critical
LN000003,CUST000861,Home,Self-Employed,Central,Active,728,2409984,893874.17,1223865,1.9691583630547487,3,0,0,0,3,Medium Risk,Critical
LN000004,CUST005391,Auto,Self-Employed,Central,Active,626,191376,37978.87,1704004,0.11230959551738141,0,0,0,0,1,Low Risk,Warning
LN000005,CUST005227,Personal,Self-Employed,South,Active,645,1635726,602994.82,2458462,0.6653452443031457,0,0,0,0,1,Low Risk,Warning
LN000006,CUST005192,Business,Self-Employed,North,Active,828,2092050,1058757.38,1338234,1.563291621644645,1,0,90,-90,2,Low Risk,Critical
LN000007,CUST003773,Home,Salaried,Central,Delinquent,613,420938,228137.5,1806400,0.23302590788308236,1,60,30,30,3,Medium Risk,Warning
LN000008,CUST003093,Education,Business Owner,West,Delinquent,742,343413,153173.15,2361454,0.14542438683963355,0,30,0,30,2,Low Risk,Warning
LN000009,CUST005735,Personal,Salaried,North,Delinquent,644,671852,76087.45,1886971,0.35604786719032777,0,60,10,50,3,Medium Risk,Warning
LN000010,CUST006266,Home,Business Owner,North,Delinquent,540,1825134,1010525.1,844621,2.1608910979007154,1,60,30,30,6,High Risk,Critical
LN000011,CUST000467,Personal,Salaried,North,Active,660,2109746,864986.67,1457666,1.447345276627156,1,0,0,0,3,Medium Risk,Critical
LN000012,CUST005335,Education,Salaried,Central,Delinquent,837,1328906,662401.55,2755759,0.48222867093965766,1,30,0,30,2,Low Risk,Warning
LN000013,CUST004427,Home,Salaried,North,Active,576,1858693,311830.4,399870,4.6482431790331855,0,0,30,-30,4,Medium Risk,Critical
LN000014,CUST005579,Education,Self-Employed,East,Active,667,2101941,1205742.11,305984,6.869447422087429,1,0,0,0,3,Medium Risk,Critical
LN000015,CUST006232,Auto,Self-Employed,Central,Active,783,1587204,1262853.07,219508,7.23073418736447,2,0,0,0,2,Low Risk,Critical
LN000016,CUST003445,Education,Salaried,Central,Active,609,2456169,469083.8,2336279,1.0513166449726252,2,5,60,-55,3,Medium Risk,Warning
