loan_id,customer_id,loan_type,age,gender,employment_type,annual_income,credit_score,loan_amount,outstanding_amount,interest_rate,loan_term,region,application_date,disbursement_date,last_payment_date,monthly_installment,total_payments,missed_payments,dpd,previous_dpd,collateral_value,loan_status
LN000001,CUST007271,Education,28,Male,Salaried,1172943,518,889405,497527.11,9.25,72,West,2022-01-01,2022-01-29,2022-10-11,12352.85,72,0,0,0,2349142,Active
LN000002,CUST007604,Auto,50,Male,Business Owner,1644831,730,2319803,478461.04,13.73,84,South,2022-01-01,2022-01-29,2023-09-15,27616.7,82,2,0,90,1443484,Active
LN000003,CUST000861,Home,54,Female,Self-Employed,658248,728,2409984,893874.17,16.14,60,Central,2022-01-01,2022-01-27,2023-11-15,40166.4,57,3,0,0,1223865,Active
LN000004,CUST005391,Auto,22,Male,Self-Employed,2873448,626,191376,37978.87,12.14,84,Central,2022-01-01,2022-01-09,2022-08-07,2278.29,84,0,0,0,1704004,Active
LN000005,CUST005227,Personal,25,Female,Self-Employed,1201765,645,1635726,602994.82,8.61,36,South,2022-01-02,2022-01-05,2022-06-10,45436.83,36,0,0,0,2458462,Active
LN000006,CUST005192,Business,51,Female,Self-Employed,1568388,828,2092050,1058757.38,10.37,24,North,2022-01-02,2022-01-05,2023-02-08,87168.75,23,1,0,90,1338234,Active
LN000007,CUST003773,Home,53,Male,Salaried,1156608,613,420938,228137.5,17.79,60,Central,2022-01-02,2022-01-04,2023-01-02,7015.63,59,1,60,30,1806400,Delinquent
LN000008,CUST003093,Education,24,Female,Business Owner,2202210,742,343413,153173.15,8.22,84,West,2022-01-02,2022-01-03,2023-10-04,4088.25,84,0,30,0,2361454,Delinquent
LN000009,CUST005735,Personal,26,Female,Salaried,2419646,644,671852,76087.45,8.77,36,North,2022-01-03,2022-01-16,2023-08-10,18662.56,36,0,60,10,1886971,Delinquent
LN000010,CUST006266,Home,43,Female,Business Owner,492835,540,1825134,1010525.1,17.89,48,North,2022-01-03,2022-01-21,2023-03-01,38023.62,47,1,60,30,844621,Delinquent
LN000011,CUST000467,Personal,39,Female,Salaried,2780436,660,2109746,864986.67,16.7,84,North,2022-01-03,2022-01-30,2023-07-02,25116.02,83,1,0,0,1457666,Active
LN000012,CUST005335,Education,63,Male,Salaried,2583111,837,1328906,662401.55,14.78,48,Central,2022-01-03,2022-01-30,2023-11-24,27685.54,47,1,30,0,2755759,Delinquent
LN000013,CUST004427,Home,28,Male,Salaried,1989180,576,1858693,311830.4,8.66,36,North,2022-01-04,2022-01-06,2023-01-04,51630.36,36,0,0,30,399870,Active
LN000014,CUST005579,Education,59,Female,Self-Employed,2275805,667,2101941,1205742.11,9.65,72,East,2022-01-04,2022-01-17,2022-09-10,29193.62,71,1,0,0,305984,Active
LN000015,CUST006232,Auto,33,Female,Self-Employed,2715469,783,1587204,1262853.07,8.98,84,Central,2022-01-04,2022-01-31,2023-11-01,18895.29,82,2,0,0,219508,Active
LN000016,CUST003445,Education,21,Female,Salaried,426198,609,2456169,469083.8,13.94,24,Central,2022-01-04,2022-01-19,2022-08-21,102340.38,22,2,5,60,2336279,Active
